2024-01-25 3:38:00 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-25 3:52:15 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-25 3:52:18 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-25 3:52:20 - PHP Notice:  Use of undefined constant type_product - assumed 'type_product' in D:\Project\wandfreude\wandfreude-main\admin\model\catalog\product.php on line 649
2024-01-25 3:52:25 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 3:52:26 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1384
2024-01-25 3:52:26 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1384
2024-01-25 3:52:26 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1252
2024-01-25 3:52:26 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 3:52:56 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 3:52:56 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1384
2024-01-25 3:52:56 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1384
2024-01-25 3:52:56 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1252
2024-01-25 3:52:56 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 3:53:48 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 3:53:48 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1417
2024-01-25 3:53:48 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1417
2024-01-25 3:53:48 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1252
2024-01-25 3:53:48 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 3:53:57 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 3:53:57 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1417
